product_name,prior_image_uuid,new_image_uuid,product_group_url
"Orange Dream","588a97f2-cdf9-437f-afb5-3b4cfdbc529b","93bfb23f-ff64-4dfc-87e9-19541278fb35","https://prime.sweedpos.com/store_setup/products/product/37258"
"Orange Mango","2aac3a85-b1b6-484b-b4a7-d2907aa5e0ff","92f62f3b-2892-467e-8eb8-7d61e3492260","https://prime.sweedpos.com/store_setup/products/product/71835"
"Papaya (Hybrid)","c575eacd-30b5-4db9-bf4e-2283dcb0db2d","df0165a0-283c-43a4-8114-cc74423b2b78","https://prime.sweedpos.com/store_setup/products/product/37228"
"Papaya Cake","ac80e919-691d-48ec-b38f-c07e5a30ff05","e6e2f6bd-e8ac-45e5-a62b-7db5abe8894b","https://prime.sweedpos.com/store_setup/products/product/71976"
"Papaya Cake","54279f40-e7e1-4167-9f2e-1a80d0a01774","36123594-e057-4636-a15e-b464ef58b46c","https://prime.sweedpos.com/store_setup/products/product/73142"
"Peanut Butter Muffin (Indica)","85dcc927-8507-402c-bcde-62883541462a","409cb2ba-57bc-47e4-afe9-6c66246346a3","https://prime.sweedpos.com/store_setup/products/product/37241"
"Permanent Marker","e3439264-5804-4787-a300-028a4482f8dd","6b035c0f-2d5f-4e24-a14a-158acbf07d9b","https://prime.sweedpos.com/store_setup/products/product/71973"
"Phantom OG","5ea9bb9a-1395-4e75-b940-786d55c4cc7c","b063a337-f0b4-45d3-9338-8d4b25c94708","https://prime.sweedpos.com/store_setup/products/product/67140"
"Phantom OG Blunt","8d87b29b-e707-487f-83af-1c17fc2fafc3","983f8c0d-5ed6-4747-acab-e4b18d1c9ea7","https://prime.sweedpos.com/store_setup/products/product/67162"
"Pina Colada x Strawpaya","a8a8b7b7-9f10-4f05-8d47-c30da2b631fe","cdc4f6a0-cc4e-4f3b-ad98-ecd31d07ffd0","https://prime.sweedpos.com/store_setup/products/product/60945"
"Pineapple Express","b326de2c-ab27-4aae-ae61-78b686941619","b8d41864-eae9-4400-b327-755d8bdacbde","https://prime.sweedpos.com/store_setup/products/product/37116"
"Pineapple Express","b881c29b-1b13-40c6-9de4-ffe25dc26b71","6ad21f85-c065-4807-8f88-f8ed5d5b0b50","https://prime.sweedpos.com/store_setup/products/product/37154"
"Pineapple Express","8b9614ae-77c7-48a4-8e7d-3807042e8a33","5f9d114a-a227-44e4-ab0d-53eb7a443e66","https://prime.sweedpos.com/store_setup/products/product/71303"
"Pineapple Express (Fast Acting)","88fead46-5f88-4b82-acad-698188c64b43","c007e738-d9b6-43d4-b1eb-f358be760e8e","https://prime.sweedpos.com/store_setup/products/product/37284"
"Pink Lemonade","3158e8da-c156-44f1-a67c-3891fec60a1e","e2ce21ab-6d23-4191-893c-9a0d27f0b6fe","https://prime.sweedpos.com/store_setup/products/product/71263"
"Pink Lemonade","471a78c7-f14c-4a99-856f-88aa9c21c4bc","21d05544-05b7-4e6b-b2e1-8c0f78f45845","https://prime.sweedpos.com/store_setup/products/product/71301"
"Pink Lemonade (Indica)","e6635499-1e59-4af6-a253-c71cd5b7b9fc","661dfc18-3f8a-40b9-b07b-40b067f80858","https://prime.sweedpos.com/store_setup/products/product/37114"
"Pink Punch","164f274b-caa5-4421-a9b0-0e77cb69feee","c8b60d0f-ce9c-410a-859e-a165d1ad1c07","https://prime.sweedpos.com/store_setup/products/product/37239"
"Pink Starburst","21197f46-e186-4656-9437-fc77db982166","296a425e-4369-4a8f-9acf-2043141f0b89","https://prime.sweedpos.com/store_setup/products/product/37240"
"Planetary Charms","1c511e0a-aff5-4805-8473-45bf85633dbe","55d30776-0153-4df5-bf39-885e1d685971","https://prime.sweedpos.com/store_setup/products/product/71230"
"Platinum Cherry Gelato (Hybrid)","ca0eae4a-27c8-4a1c-be0f-7740616d28a8","744c6948-45aa-4d4e-a23c-8f4bbc77654f","https://prime.sweedpos.com/store_setup/products/product/37093"
"Pound for Pound cake","8b90a5df-7c09-4862-b2a4-db54401dee9e","daca6252-ff8b-4d34-aaba-cc0c7a7e5234","https://prime.sweedpos.com/store_setup/products/product/79467"
"Puffin Z","6f3bde57-096f-421e-8c54-4b8ea2421d8f","aa6f8d53-bacd-43b3-8245-0a41983eecb4","https://prime.sweedpos.com/store_setup/products/product/73100"
"Punch","1f4400cd-d6dd-47af-9090-4291a684352c","5136a2aa-786d-4088-ab3b-9d8b765223e9","https://prime.sweedpos.com/store_setup/products/product/37198"
